DISCIPLINA,CODIGO,TURMA,SALA,DIA1,HORARIO1,DIA2,HORARIO2
QUIMICA ORGANICA II F,QUI209,TP,2300 - ENG. BLOCO 4,2a,13:00 - 14:40,4a,13:00 - 14:40
QUIMICA AMBIENTAL C,QUI215,TF,1021,3a,19:00 - 20:40,5a,20:55 - 22:35
QUIMICA INORGANICA CII,QUI216,TF,124 - QUI,4a,19:00 - 20:40
INSTRUMENTACAO PARA O ENSINO DE QUIMICA CII,QUI217,TF,2071,3a,20:55 - 22:35,5a,19:00 - 20:40
METODOS FISICOS DE ANALISE II,QUI218,PA,2057,5a,07:30 - 09:10
METODOS FISICOS DE ANALISE II,QUI218,PB,2057,5a,09:25 - 11:05
METODOS FISICOS DE ANALISE II,QUI218,TB,2057,3a,09:25 - 11:05
ESPECTROSCOPIA,QUI219,TF,124 - QUI,3a,20:55 - 22:35,5a,19:50 - 22:35
TRABALHO DE CONCLUSAO DE CURSO I LICENCIATURA,QUI220,PE,2072,3a,19:00 - 20:40
ANALISE INSTRUMENTAL A,QUI221,PB,264 - QUI,4a,09:25 - 11:55
ANALISE INSTRUMENTAL A,QUI221,PF,Lab. QUI,6a,19:50 - 22:35
ANALISE INSTRUMENTAL A,QUI221,TC,2072,2a,10:15 - 11:55
ANALISE INSTRUMENTAL A,QUI221,TE,122 - QUI,4a,19:00 - 20:40
ANALISE INSTRUMENTAL B,QUI222,PF,1014,3a,19:00 - 20:40
ANALISE INSTRUMENTAL B,QUI222,PM,1019,2a,14:55 - 16:35
ANALISE INSTRUMENTAL B,QUI222,TF,1020,6a,19:00 - 19:50
ANALISE INSTRUMENTAL B,QUI222,TN,2071,2a,13:50 - 14:40
QUIMICA INORGANICA CIII,QUI223,TN,1017,3a,16:00 - 17:40,5a,16:00 - 17:40
TRABALHO DE CONCLUSAO DE CURSO I - BACHARELADO,QUI225,PN,2059,5a,19:50 - 21:30
QUIMICA DOS ALIMENTOS,QUI227,TM,2071,4a,13:00 - 16:35
CRIACAO DE EMPRESAS DE BASE TECNOLOGICA,QUI229,TN,2071,2a,14:55 - 16:35,5a,15:25 - 17:05
FILMES FINOS,QUI233,TM,264 - QUI,4a,13:30 - 15:10
